text,category
7.3k dislike adichavanmaarod onne parayanollu......  OMKV,Negative
Feeling sad am studying in punjab ivde release aakuvo,Negative
1k dislikes Ella dislike pannikalkum endhe naduviral namskaram,Negative
Adhikam hype venda,Negative
Natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha,Negative
Koora padam,Negative
Ennalum ente Idivettu suguna ninne ithilu kandillalo,Negative
Lokal poyi Madhura raja teaser kanada,Negative
Kuru potti olikknna 1k poojappura fans,Negative
Kure per dislike adich kuru pottikkunnund,Negative
Dislike adechath alla punnara makkalum anta veral,Negative
Samyuktha vendayirunnu.   Aishu pwoli ann,Negative
Trailer erangiyilla adhinu munpe pedich thoori dislike adikunna mammunnyolikal,Negative
Dislike adikunna mandanmar ariyunnilla ithu open akkiyal views nte ennam koodum ennu,Negative
Bro support koduthilenkilum dislike adikkathirunoode .,Negative
ee unlike adichavark oru asukam undu enthuvanan ariyamo asooya,Negative
Pirates of carbien aarum kanditilananu mone ninte vicharam,Negative
Dislike cheyunavanoke ethu naarikal aanenavo.... Chathude...   Kidukachi trailer vanetum dislike 1.1k Kashtam preshakare...,Negative
Ee Padam Kolamavukayaanengil it will be because of Peter hein,Negative
Avalude name veykkunille avar lead cheyyunna film alle..,Negative
ee padam 8 nilayil podannamennju prarthikunnju,Negative
Ayye poraaa.... lalettan nu role ille??,Negative
Ee trailer vachaaanooo luciferinodu muttaan varunnath,Negative
Moood poyi mood poyi aa sabune kandappol mood poyi,Negative
Dislike adicha pullanmarude mugathulla adiyavatte oro likum,Negative
Police ill minimum  hight elle  Aju oke police,Negative
Dislike cheydha thendigalk releasin kaanich therum nangal endhan mamangam enn,Negative
Trailer kandappo oru karym manasilayi eni mammooka fans luciferine velluvilikkilla,Negative
Pokiri Raja nte athra odulaa ee chithram eniku thonunnu....,Negative
Trailor kand 8 nilayil pottum enn thonunnu mumbathe pole tholvigal vaari kootan thudangunnu,Negative
Dislike myrolikalk ulla kandam Madhurayil orukkiyittund enn parayan paranju....,Negative
Trailer erghunathinn munbb .kanathe dislike adichavanmaar verum verum..... Feeling pucham to u all,Negative
Thalachorilla budhiyum illatha 11k aalkkar . Ninte okke thalakku ooolamanooo,Negative
Looks like netflix series oru film aayi coloring Mach aavunnilla,Negative
Veruthayayi kashu poyi pratheeshyode arum pokaruthe,Negative
173k views and 173k likes bakki kore mammunni fans 18k,Negative
Mammookaye pole dailog eathu salgilum prasant cheyyan kazhiyillannu ippo eniku manasilaayi,Negative
Thrissur slang paliyenn thonnunnath enikk mathramano?,Negative
Lucifer trailer erangiya day million views vannapo sudappi makkal endho paranjarunnallo.ikkede trailer onnu vannottu ennu alle?ennittu bhayangara views ahnallo🤣🤣🤣,Negative
Padam pottum... Charithram akanamenkil marakkar varanam,Negative
Da mwone madhurajaedatreum varilla ketto .nte vaka ellarkum chukavandanam,Negative
Ikkakk..valla  mass padavum cheythude....ithorumaathiri senti...cop,Negative
pora,Negative
